Filename	Artist	Album	Year	Trackno	Title
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t04.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t05.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t06.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t07.flac			0	0	
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t01.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	1	Mississippi Half-Step
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t02.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	2	Franklin's Tower
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t03.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	3	New Minglewood Blues
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t04.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	4	Candyman
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t05.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	5	Me and My Uncle
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t06.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	6	Big River
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t07.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	7	Friend of the Devil
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t08.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	8	It's All Over Now
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t09.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	9	Brown Eyed Women
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t10.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	10	Lazy Lightnin'
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d1t11.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	11	Supplication
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d2t01.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	12	Scarlet Begonias
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d2t02.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	13	Fire on the Mountain
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d2t03.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	14	Samson and Delilah
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d2t04.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	15	Terrapin Station
c:\music\gd79-01-08.gatto.glyde.10283.sbeok.shnf\gd19779-01-08d2t05.ogg	Grateful Dead	1979-01-08 - Madison Square Garden	0	16	Playin' in the Band
